time,j0,j1,j2,j3,j4,j5,jaw
8.99,0.0296,-0.0799,0.0027,-1.6000,-0.8000,-0.8000,0.0000
8.99,0.1628,-0.4799,0.0060,-2.8000,1.2000,0.4000,0.0000
8.99,0.2294,-0.8799,0.0093,-1.6000,3.2000,-0.8000,0.0000
8.99,0.2627,-1.2799,0.0127,-2.8000,4.4000,0.4000,0.0000
8.99,0.2793,-1.6799,0.0160,-1.6000,3.2000,-0.8000,0.0000
8.99,0.2876,-2.0799,0.0193,-2.8000,5.2000,0.4000,0.0000
8.99,0.2917,-2.4799,0.0227,-1.6000,6.4000,-0.8000,0.0000
8.99,0.2937,-2.8799,0.0260,-2.8000,5.2000,0.4000,0.0000
8.99,0.2947,-3.2799,0.0293,-1.6000,6.4000,-0.8000,0.0000
8.99,0.2951,-3.6799,0.0327,-2.8000,5.2000,0.4000,0.0000
8.99,0.2954,-4.0799,0.0360,-1.6000,7.2000,-0.8000,0.0000
8.99,0.2954,-4.4799,0.0393,-2.8000,8.4000,0.4000,0.0000
8.99,0.2954,-4.8799,0.0427,-1.6000,7.2000,-0.8000,0.0000
8.99,0.2954,-5.2799,0.0460,-2.8000,8.4000,0.4000,0.0000
8.99,0.2954,-5.6715,0.0493,-1.6000,7.2000,-0.8000,0.0000
8.99,0.2953,-5.9935,0.0527,-2.8000,9.2000,0.4000,0.0000
8.99,0.2953,-6.1544,0.0560,-1.6000,10.4000,-0.8000,0.0000
8.99,0.2952,-6.2348,0.0593,-2.8000,9.2000,0.4000,0.0000
8.99,0.2952,-6.2748,0.0627,-1.6000,10.4000,-0.8000,0.0000
8.99,0.2951,-6.2948,0.0660,-2.8000,9.2000,0.4000,0.0000
8.99,0.2951,-6.3046,0.0693,-1.6000,10.4000,-0.8000,0.0000
8.99,0.2950,-6.3095,0.0727,-2.8000,9.2000,0.4000,0.0000
8.99,0.2950,-6.3118,0.0760,-1.6000,10.4000,-0.8000,0.0000
8.99,0.2949,-6.3128,0.0793,-2.8000,9.2000,0.4000,0.0000
8.99,0.2949,-6.3133,0.0827,-1.6000,10.4000,-0.8000,0.0000
8.99,0.2948,-6.3134,0.0860,-2.8000,9.2000,0.4000,0.0000
8.99,0.2948,-6.3133,0.0893,-1.6000,10.4000,-0.8000,0.0000
8.99,0.2947,-6.3132,0.0927,-2.8000,9.2000,0.4000,0.0000
8.99,0.2947,-6.3130,0.0960,-1.6000,10.4000,-0.8000,0.0000
8.99,0.2946,-6.3128,0.0993,-2.8000,9.2000,0.4000,0.0000
8.99,0.2945,-6.3127,0.1027,-1.6000,10.4000,-0.8000,0.0000
8.99,0.2945,-6.3125,0.1060,-2.8000,9.2000,0.4000,0.0000
8.99,0.2944,-6.3123,0.1093,-1.6000,10.4000,-0.8000,0.0000
8.99,0.2944,-6.3121,0.1127,-2.8000,9.2000,0.4000,0.0000
8.99,0.2943,-6.3118,0.1160,-1.6000,10.4000,-0.8000,0.0000
8.99,0.2943,-6.3116,0.1193,-2.8000,9.2000,0.4000,0.0000
8.99,0.2942,-6.3114,0.1227,-1.6000,10.4000,-0.8000,0.0000
8.99,0.2942,-6.3112,0.1260,-2.8000,9.2000,0.4000,0.0000
8.99,0.2941,-6.3110,0.1293,-1.6000,10.4000,-0.8000,0.0000
8.99,0.2941,-6.3108,0.1327,-2.8000,9.2000,0.4000,0.0000
8.99,0.2940,-6.3106,0.1360,-1.6000,10.4000,-0.8000,0.0000
8.99,0.2940,-6.3104,0.1393,-2.8000,9.2000,0.4000,0.0000
8.99,0.2939,-6.3102,0.1427,-1.6000,10.4000,-0.8000,0.0000
9.19,0.2139,-6.2301,0.1459,-2.8000,8.4000,0.4000,0.0000
9.19,-0.1861,-5.8317,0.1484,-0.8000,6.4000,-1.6000,0.0000
9.39,-0.5861,-5.4928,0.1491,1.2000,4.4000,-3.6000,0.0000
9.39,-0.9861,-5.3785,0.1474,3.2000,2.4000,-5.6000,0.0000
9.57,-1.3470,-5.3492,0.1473,4.4000,1.2000,-6.8000,0.0000
9.57,-1.5309,-5.4456,0.1504,2.4000,3.2000,-4.8000,0.0000
10.27,-1.5331,-5.5088,0.1517,1.2000,4.4000,-2.8000,0.0000
10.27,-1.1753,-5.6005,0.1485,3.2000,2.4000,-1.6000,0.0000
10.27,-0.9964,-5.6463,0.1463,5.2000,0.4000,-3.6000,0.0000
10.27,-0.9070,-5.6690,0.1452,7.2000,-1.6000,-4.8000,0.0000
10.27,-0.8623,-5.6803,0.1446,9.2000,-3.6000,-3.6000,0.0000
10.27,-0.8400,-5.6858,0.1444,11.2000,-5.6000,-5.0924,0.0000
10.27,-0.8289,-5.6885,0.1442,13.2000,-7.6000,-5.0621,0.0000
10.45,-0.9040,-5.6096,0.1441,14.4000,-8.8000,-7.0621,0.0000
10.45,-1.3040,-5.2096,0.1436,12.4000,-6.8000,-9.0621,0.0000
11.13,-1.7040,-4.8096,0.1438,10.4000,-4.8000,-11.0621,0.0000
11.13,-2.1040,-4.4096,0.1457,8.4000,-2.8000,-13.0621,0.0000
11.13,-2.5040,-4.0096,0.1467,6.4000,-0.8000,-15.0621,0.0000
11.13,-2.9040,-3.6096,0.1471,4.4000,1.2000,-16.2621,0.0000
11.13,-3.2935,-3.2096,0.1474,2.4000,3.2000,-14.2621,0.0000
11.13,-3.6064,-2.8096,0.1475,0.4000,5.2000,-13.0621,0.0000
11.13,-3.7629,-2.4096,0.1476,-1.6000,7.2000,-14.2829,0.0000
11.91,-3.8775,-2.0096,0.1483,-3.6000,8.4000,-12.3661,0.0000
11.91,-4.0798,-1.6096,0.1515,-5.6000,6.4000,-10.3661,0.0000
11.91,-4.1810,-1.2096,0.1542,-7.6000,4.4000,-8.3661,0.0000
11.91,-4.2316,-0.8096,0.1556,-9.6000,2.4000,-6.3661,0.0000
11.91,-4.2569,-0.4096,0.1562,-11.6000,1.2000,-4.3661,0.0000
11.91,-4.2696,-0.0096,0.1565,-13.6000,2.4000,-2.3661,0.0000
11.91,-4.2759,0.3632,0.1567,-15.6000,1.2000,-0.3661,0.0000
11.91,-4.2791,0.6009,0.1568,-17.6000,2.4000,1.6339,0.0000
12.13,-4.2146,0.6265,0.1570,-18.8000,1.2000,3.6339,0.0000
12.13,-3.9175,0.2265,0.1576,-17.6000,3.2000,5.6339,0.0000
13.33,-3.8819,-0.0067,0.1586,-18.0000,4.4000,6.8339,0.0000
13.33,-4.2301,-0.3365,0.1617,-20.0000,6.4000,8.8339,0.0000
13.33,-4.4042,-0.5013,0.1640,-22.0000,8.4000,10.8339,0.0000
13.33,-4.4913,-0.5836,0.1652,-24.0000,10.4000,12.8339,0.0000
13.33,-4.5348,-0.6247,0.1658,-26.0000,12.4000,14.8339,0.0000
13.83,-4.3894,-0.7092,0.1656,-26.0000,11.6000,14.8339,0.0000
13.83,-4.4334,-0.3092,0.1663,-28.0000,10.4000,16.8339,0.0000
13.83,-4.4554,0.0908,0.1667,-30.0000,12.4000,18.8339,0.0000
16.15,-4.1892,-0.1200,0.1666,-29.6000,13.6000,17.6339,0.0000
17.23,-3.9723,-0.4615,0.1639,-30.0000,13.2000,15.6339,0.0000
17.23,-3.9742,-0.8615,0.1606,-32.0000,11.2000,13.6339,0.0000
17.23,-3.9751,-1.2615,0.1575,-33.5735,9.2000,11.6339,0.0000
17.23,-3.9756,-1.6303,0.1558,-33.0676,7.2000,9.6339,0.0000
17.23,-3.9758,-1.8496,0.1550,-31.0676,5.2000,7.6339,0.0000
17.23,-3.9760,-1.9714,0.1545,-28.6676,2.8000,5.2339,0.0000
17.99,-3.8160,-2.1314,0.1551,-27.8676,3.6000,5.2339,0.0000
17.99,-3.4160,-2.5314,0.1575,-25.8676,5.6000,6.4339,0.0000
17.99,-3.0160,-2.9314,0.1587,-23.8676,7.6000,5.2339,0.0000
26.93,-2.6880,-3.3089,0.1595,-21.8676,9.6000,7.2339,0.0000
30.11,-2.6000,-3.4464,0.1598,-21.0676,10.4000,7.2339,0.0000
30.11,-2.2000,-3.8464,0.1600,-19.0676,11.6000,5.2339,0.0000
30.11,-1.8000,-4.2464,0.1601,-17.0676,10.4000,3.2339,0.0000
30.11,-1.4000,-4.6464,0.1602,-15.0676,12.4000,1.2339,0.0000
30.11,-1.0000,-5.0464,0.1602,-13.0676,13.6000,-0.7661,0.0000
31.21,-0.6000,-5.4464,0.1596,-11.0676,11.6000,-1.9661,0.0000
31.21,-0.2000,-5.8254,0.1563,-9.0676,9.6000,0.0339,0.0000
31.21,0.1739,-6.0906,0.1532,-7.8676,7.6000,1.2339,0.0000
31.21,0.4165,-6.2231,0.1513,-9.0676,5.6000,-0.7661,0.0000
31.21,0.5378,-6.2892,0.1503,-7.0676,3.6000,-1.9661,0.0000
31.21,0.5984,-6.3222,0.1498,-5.0676,1.6000,-0.7661,0.0000
31.21,0.6286,-6.3386,0.1496,-3.0676,-0.4000,-1.9661,0.0000
31.21,0.6437,-6.3467,0.1495,-1.5593,-2.4000,-0.7661,0.0000
31.21,0.6513,-6.3506,0.1494,-1.5260,-4.4000,-2.7661,0.0000
31.21,0.6550,-6.3525,0.1494,0.4740,-6.4000,-3.9661,0.0000
